	Unnamed: 0	Unnamed: 0.1	review_text	label
4119	3265	3265	"
Очень неплохой бюджетный смартфон с очень нехорошим недостатком... Може как то решить это можно - не знаю. но для этой модели батарея в 2000 мА/ч мало. П.с. если кто знает как решить - делитесь.
 
Достоинства: Аккуратный, шустрый.
 
Недостатки: Сажается аккумулятор на глазах. В интернете или активном вайфай за 5 часов. Садит и экран за 2 минуты 1 процент зарядки... :( В ждущем режиме (просто в кармане с отключенными всякими интернетами и вайфаями) - за 30 минут 5 процентов сожрало батареи.
"	0
1323	469	469	"
Как звонилка - хорош. Батарею мало держит.
 
Достоинства: НЕ ТОНЕТ, удобный
 
Недостатки: камера, батарея
"	1
13575	1819	1819	"
глючит, плохая батарея
"	0
2655	1801	1801	"
Пользуюсь около двух месяцев. Весьма посредственная модель. В этой ценовой категории можно найти получше. Лично я буду менять на другой смарт. К меню до сих пор не привыкну - не удобное. Больше всего напрягает динамик и микрофон. Даже после перенастройки в инженерном меню слышимость ужасная, особенно на улице или в машине. Меня слышат тоже плохо, приходится почти кричать. Камера плохая, днем снимки ещё нормальные, но стоит зайти в помещение и снимков практически нет, за снимки в сумерках на этом смарте забудьте - их нет. Греется ужасно, даже при обычных звонках и долгих разговорах - 10-20 мин. Аккумулятор так себе, мне хватает на часов 6-7 при постоянно включенном 3G и интенсивных звонках. Единственный плюс это быстродействие и более ни менее сносный дисплей. В общем выбором этого смарта не доволен.
 
Достоинства: Быстродействие, дисплей
 
Недостатки: Плохой динамик!!!, микрофон!!! изначально и после перенастройки в инженерном меню, греется просто аномально, меню не удобное, камера в помещении с неярким светом почти бесполезна даже со вспышкой.
"	0
547	510	510	"
Я покупал такой своему ребенку, как первый телефон. Ему очень понравился. Со своими основными обязанностями такими как позвонить или написать смс аппарат справляется на отлично. И от батареи работает много времени. Все кнопки в нем расположены удобно, так что нажимать их не составляет труда. Как первый телефон для маленького ребенка просто идеален.
 
Достоинства: Цена, качество, размеры, минималистичность
 
Недостатки: Не обнаружено
"	1
958	104	104	"
Отличный телефон для работы и тех кому не всегда удаётся подзарядиться, телефон приятно лежит в руке, на природе по блутуз передаёт музыку для блутуз-колонки, есть фонарик, радио, время ожидания до 1 месяца (со слов производителя). Очень доволен покупкой, для тех кому нужно просто звонить это лучшее что есть на рынке. Розетка как всегда на высоте, отправили быстро
 
Достоинства: Компактные размеры, мощный аккумулятор, фонарик, слот для карты памяти на 32гб, блутуз 3.0
 
Недостатки: Их нет
"	1
13446	1690	1690	"
не стоит этих денег, батарея максимум трое суток при минимальных разговорах. С включенным фонариком разряжается очень быстро. Камера в нём понт, чем необходимость, переплачивать за так называемую камеру - не рекомендую. Даже как в качестве обыкновенной звонилки плохо справляется.
 
Достоинства: фонарик, mp3
 
Недостатки: батарея
"	0
11105	1145	1145	"
Время дополнить свой когда-то восторженный отзыв. Планшет приобретался в июне 2016, сначала все работало хорошо, кроме фильмов в браузере. Через 3 месяца начались проблемы с рекламой - ок, скинул до заводских настроек, еще месяц работал без нареканий. Потом планшет начал выключаться. Воскресить было невозможно никакими кнопками, комбинациями и т.д. Включался сам по желанию. Сейчас держу в руке кирпич. НЕ рекоммендую.
 
Достоинства: батарея, размер, кол-во доступной памяти, производительность, отличное зарядное устройство в комплекте
 
Недостатки: реклама, произвольные выключения, качество сборки
"	0
693	656	656	"
Лучший выбор для рабочей звонилки. Цена-качество так сказать. Покупкой остался доволен.
 
Достоинства: Громкий(при чем обо динамика), большой, яркий экран, хорошая батарея(дней 5 в режиме звонилки держит легко), крупные кнопки, приятная подсветка, стильный дизайн, шустрый, отлично держит связь.
 
Недостатки: Материал корпуса на ощупь тонковат, Габариты телефона почти как у 4.3 -дюймового смарта(немного все же меньше), непонятно можно ли добавлять пользовательские приложения(jar и jad ему не известны), камера плохого разрешения.
"	1
921	67	67	"
В принципе телефон удобен. Хорошо крепко лежит в руке. Не ломается. Кнопки легко нажимаются. Для пожилого человека в самый раз. Покупали бабушке. Ей сложно обращаться в принципе с любой техникой. Поэтому. чтобы она могла звонить, запрограммировали кнопку СОС, а для приема вызова и отбоя здесь как раз хорошо выделенные цветом, довольно большие кнопки. Для другого нам этот телефон не требуется. Батарея неплохая, каждый день на зарядке не стоит. Нам подошел.
"	1
